Running on host cs302.hpc.nyu.edu
Directory is /scratch/yz6994/HPC_finalproj_lbm
Slurm job ID is 33438420
==done==
index = 256, local_density = 0.100000, u_x = 0.000000
index = 257, local_density = 0.100000, u_x = 0.000000
index = 258, local_density = 0.100000, u_x = 0.000000
index = 259, local_density = 0.100000, u_x = 0.000000
index = 260, local_density = 0.100000, u_x = 0.000000
index = 261, local_density = 0.100000, u_x = 0.000000
index = 262, local_density = 0.100000, u_x = 0.000000
index = 263, local_density = 0.100000, u_x = 0.000000
index = 264, local_density = 0.100000, u_x = 0.000000
index = 265, local_density = 0.100000, u_x = 0.000000
index = 266, local_density = 0.100000, u_x = 0.000000
index = 267, local_density = 0.100000, u_x = 0.000000
index = 268, local_density = 0.100000, u_x = 0.000000
index = 269, local_density = 0.100000, u_x = 0.000000
index = 270, local_density = 0.100000, u_x = 0.000000
index = 271, local_density = 0.100000, u_x = 0.000000
index = 272, local_density = 0.100000, u_x = 0.000000
index = 273, local_density = 0.100000, u_x = 0.000000
index = 274, local_density = 0.100000, u_x = 0.000000
index = 275, local_density = 0.100000, u_x = 0.000000
index = 276, local_density = 0.100000, u_x = 0.000000
index = 277, local_density = 0.100000, u_x = 0.000000
index = 278, local_density = 0.100000, u_x = 0.000000
index = 279, local_density = 0.100000, u_x = 0.000000
index = 280, local_density = 0.100000, u_x = 0.000000
index = 281, local_density = 0.100000, u_x = 0.000000
index = 282, local_density = 0.100000, u_x = 0.000000
index = 283, local_density = 0.100000, u_x = 0.000000
index = 284, local_density = 0.100000, u_x = 0.000000
index = 285, local_density = 0.100000, u_x = 0.000000
index = 286, local_density = 0.100000, u_x = 0.000000
index = 287, local_density = 0.100000, u_x = 0.000000
index = 288, local_density = 0.100000, u_x = 0.000000
index = 289, local_density = 0.100000, u_x = 0.000000
index = 290, local_density = 0.100000, u_x = 0.000000
index = 291, local_density = 0.100000, u_x = 0.000000
index = 292, local_density = 0.100000, u_x = 0.000000
index = 293, local_density = 0.100000, u_x = 0.000000
index = 294, local_density = 0.100000, u_x = 0.000000
index = 295, local_density = 0.100000, u_x = 0.000000
index = 296, local_density = 0.100000, u_x = 0.000000
index = 297, local_density = 0.100000, u_x = 0.000000
index = 298, local_density = 0.100000, u_x = 0.000000
index = 299, local_density = 0.100000, u_x = 0.000000
index = 300, local_density = 0.100000, u_x = 0.000000
index = 301, local_density = 0.100000, u_x = 0.000000
index = 302, local_density = 0.100000, u_x = 0.000000
index = 303, local_density = 0.100000, u_x = 0.000000
index = 304, local_density = 0.100000, u_x = 0.000000
index = 305, local_density = 0.100000, u_x = 0.000000
index = 306, local_density = 0.100000, u_x = 0.000000
index = 307, local_density = 0.100000, u_x = 0.000000
index = 308, local_density = 0.100000, u_x = 0.000000
index = 309, local_density = 0.100000, u_x = 0.000000
index = 310, local_density = 0.100000, u_x = 0.000000
index = 311, local_density = 0.100000, u_x = 0.000000
index = 312, local_density = 0.100000, u_x = 0.000000
index = 313, local_density = 0.100000, u_x = 0.000000
index = 314, local_density = 0.100000, u_x = 0.000000
index = 315, local_density = 0.100000, u_x = 0.000000
index = 316, local_density = 0.100000, u_x = 0.000000
index = 317, local_density = 0.100000, u_x = 0.000000
index = 318, local_density = 0.100000, u_x = 0.000000
index = 319, local_density = 0.100000, u_x = 0.000000
index = 320, local_density = 0.100000, u_x = 0.000000
index = 321, local_density = 0.100000, u_x = 0.000000
index = 322, local_density = 0.100000, u_x = 0.000000
index = 323, local_density = 0.100000, u_x = 0.000000
index = 324, local_density = 0.100000, u_x = 0.000000
